25Y-02-14 at 09:14:43 | INFO | Пользователь ввел название {title} новеллы и ссылку {url}.
2025-02-14 at 15:13:51 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_65.html is got
2025-02-14 at 15:13:57 | INFO | chapter 65 for link https://www.52shuku.vip/yanqing/am/h2QX_65.html is got
2025-02-14 at 15:13:58 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_66.html is got
2025-02-14 at 15:14:03 | INFO | chapter 66 for link https://www.52shuku.vip/yanqing/am/h2QX_66.html is got
2025-02-14 at 15:14:03 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_67.html is got
2025-02-14 at 15:14:04 | INFO | chapter 67 for link https://www.52shuku.vip/yanqing/am/h2QX_67.html is got
2025-02-14 at 15:14:05 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_68.html is got
2025-02-14 at 15:14:12 | INFO | chapter 68 for link https://www.52shuku.vip/yanqing/am/h2QX_68.html is got
2025-02-14 at 15:14:12 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_69.html is got
2025-02-14 at 15:14:14 | INFO | chapter 69 for link https://www.52shuku.vip/yanqing/am/h2QX_69.html is got
2025-02-14 at 15:14:15 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_70.html is got
2025-02-14 at 15:14:21 | INFO | chapter 70 for link https://www.52shuku.vip/yanqing/am/h2QX_70.html is got
2025-02-14 at 15:14:21 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_71.html is got
2025-02-14 at 15:14:23 | INFO | chapter 71 for link https://www.52shuku.vip/yanqing/am/h2QX_71.html is got
2025-02-14 at 15:14:24 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_72.html is got
2025-02-14 at 15:14:29 | INFO | chapter 72 for link https://www.52shuku.vip/yanqing/am/h2QX_72.html is got
2025-02-14 at 15:14:29 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_73.html is got
2025-02-14 at 15:14:31 | INFO | chapter 73 for link https://www.52shuku.vip/yanqing/am/h2QX_73.html is got
2025-02-14 at 15:14:32 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_74.html is got
2025-02-14 at 15:14:39 | INFO | chapter 74 for link https://www.52shuku.vip/yanqing/am/h2QX_74.html is got
2025-02-14 at 15:14:39 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_75.html is got
2025-02-14 at 15:14:45 | INFO | chapter 75 for link https://www.52shuku.vip/yanqing/am/h2QX_75.html is got
2025-02-14 at 15:14:46 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_76.html is got
2025-02-14 at 15:14:51 | INFO | chapter 76 for link https://www.52shuku.vip/yanqing/am/h2QX_76.html is got
2025-02-14 at 15:14:51 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_77.html is got
2025-02-14 at 15:14:56 | INFO | chapter 77 for link https://www.52shuku.vip/yanqing/am/h2QX_77.html is got
2025-02-14 at 15:14:56 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_78.html is got
2025-02-14 at 15:15:03 | INFO | chapter 78 for link https://www.52shuku.vip/yanqing/am/h2QX_78.html is got
2025-02-14 at 15:15:05 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_79.html is got
2025-02-14 at 15:15:12 | INFO | chapter 79 for link https://www.52shuku.vip/yanqing/am/h2QX_79.html is got
2025-02-14 at 15:15:18 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_80.html is got
2025-02-14 at 15:15:24 | INFO | chapter 80 for link https://www.52shuku.vip/yanqing/am/h2QX_80.html is got
2025-02-14 at 15:15:25 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_81.html is got
2025-02-14 at 15:15:26 | INFO | chapter 81 for link https://www.52shuku.vip/yanqing/am/h2QX_81.html is got
2025-02-14 at 15:15:26 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_82.html is got
2025-02-14 at 15:15:32 | INFO | chapter 82 for link https://www.52shuku.vip/yanqing/am/h2QX_82.html is got
2025-02-14 at 15:15:32 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_83.html is got
2025-02-14 at 15:15:34 | INFO | chapter 83 for link https://www.52shuku.vip/yanqing/am/h2QX_83.html is got
2025-02-14 at 15:15:35 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_84.html is got
2025-02-14 at 15:15:37 | INFO | chapter 84 for link https://www.52shuku.vip/yanqing/am/h2QX_84.html is got
